,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,score,lastMove
119,128,32,8,4,32,16,4,0,8,4,0,0,4,2,0,0,1120,'w'
120,128,32,8,4,0,32,16,4,0,8,4,2,0,0,4,2,1120,'d'
121,128,64,8,8,2,8,16,4,0,0,8,0,0,0,0,0,1204,'w'
122,128,64,16,0,2,8,16,4,8,0,0,0,2,0,0,0,1220,'a'
123,128,64,32,2,2,8,0,4,8,0,0,0,2,0,0,0,1252,'w'
124,128,64,32,2,2,8,4,0,8,0,0,0,4,0,0,0,1256,'a'
125,128,64,32,2,0,2,8,4,0,0,8,2,0,0,0,4,1256,'d'
126,128,64,32,2,0,4,16,4,0,0,0,2,0,0,0,4,1276,'w'
127,128,64,32,2,4,16,4,0,2,0,0,0,2,4,0,0,1276,'a'
128,128,64,32,2,0,4,16,4,0,0,0,4,0,0,2,4,1280,'d'
129,128,64,32,2,2,4,16,8,0,0,2,4,0,0,0,0,1288,'w'
130,128,64,32,2,2,4,16,8,2,4,0,0,2,0,0,0,1288,'a'
131,128,64,32,2,2,4,16,8,0,0,2,4,0,0,0,4,1292,'d'
132,128,64,32,2,2,4,16,8,0,2,2,8,0,0,0,0,1300,'w'
133,128,64,32,2,2,4,16,8,4,8,0,0,2,0,0,0,1304,'a'
134,128,64,32,2,2,4,16,8,4,8,0,2,2,0,0,0,1304,'w'
135,128,64,32,2,2,4,16,8,0,4,8,2,0,0,0,4,1308,'d'
136,128,64,32,2,2,8,16,8,0,2,8,2,0,0,0,4,1316,'w'
137,128,64,32,2,2,8,16,8,2,8,2,0,2,4,0,0,1316,'a'
138,128,64,32,2,4,16,16,8,2,4,2,2,0,0,0,0,1336,'w'
139,128,64,32,2,0,4,32,8,0,2,4,4,0,0,0,2,1372,'d'
140,128,64,64,2,0,4,4,8,0,4,0,4,0,0,0,2,1440,'w'
141,128,128,2,0,8,8,0,0,4,2,4,0,2,0,0,0,1576,'a'
142,256,2,0,0,16,0,0,0,4,2,4,0,4,0,0,0,1852,'a'
143,256,4,4,2,16,0,0,0,8,0,0,0,0,0,0,0,1864,'w'
144,256,4,4,4,16,0,0,0,8,0,0,0,0,0,0,0,1868,'w'
145,256,4,4,4,16,2,0,0,8,0,0,0,0,0,0,0,1868,'w'
146,256,4,4,4,16,4,0,0,8,0,0,0,0,0,0,0,1872,'w'
147,256,8,4,0,16,4,0,0,8,0,0,0,2,0,0,0,1880,'a'
148,256,8,4,2,16,4,0,0,8,0,0,0,2,0,0,0,1880,'w'
149,256,8,4,4,16,4,0,0,8,0,0,0,2,0,0,0,1884,'w'
150,256,8,4,4,16,4,0,2,8,0,0,0,2,0,0,0,1884,'w'
151,256,8,4,4,16,4,0,2,8,2,0,0,2,0,0,0,1884,'w'
152,256,8,4,4,16,4,0,4,8,2,0,0,2,0,0,0,1888,'w'
153,256,8,4,8,16,4,2,0,8,2,0,0,2,0,0,0,1896,'w'
154,256,8,4,8,16,4,2,0,8,4,0,0,2,0,0,0,1900,'w'
155,256,8,4,8,16,8,2,2,8,0,0,0,2,0,0,0,1908,'w'
156,256,16,4,8,16,2,2,2,8,0,0,0,2,0,0,0,1924,'w'
157,256,16,4,8,16,4,2,2,8,0,0,0,2,0,0,0,1928,'w'
158,256,16,4,8,16,4,4,0,8,0,0,0,4,0,0,0,1936,'a'
159,256,16,8,8,16,4,0,2,8,0,0,0,4,0,0,0,1944,'w'
160,256,16,16,0,16,4,2,0,8,2,0,0,4,0,0,0,1960,'a'
161,256,16,16,2,16,4,2,0,8,2,0,0,4,0,0,0,1960,'w'
162,256,32,2,0,16,4,2,0,8,2,0,0,4,2,0,0,1992,'a'
163,256,32,4,0,16,4,2,0,8,4,0,0,4,0,0,0,2000,'w'
164,256,32,4,0,16,8,4,0,8,0,0,0,4,0,0,0,2012,'w'
165,256,32,8,0,16,8,2,0,8,0,0,0,4,0,0,0,2020,'w'
166,256,32,8,2,0,16,8,2,0,0,0,8,0,0,0,4,2020,'d'
167,256,32,16,4,2,16,0,8,0,0,0,4,0,0,0,0,2040,'w'
168,256,32,16,4,4,16,0,8,0,0,0,4,0,0,0,0,2044,'w'
169,256,32,16,4,0,4,16,8,0,0,0,4,0,0,0,2,2044,'d'
170,256,32,32,4,0,4,0,8,0,2,0,4,0,0,0,2,2076,'w'
171,256,64,4,0,4,8,0,0,2,4,0,0,4,0,0,0,2144,'a'
172,256,64,4,2,0,0,4,8,0,0,2,4,0,0,0,4,2144,'d'
173,256,64,8,2,2,0,2,8,0,0,0,8,0,0,0,0,2160,'w'
174,256,64,8,2,2,2,2,16,0,0,0,0,0,0,0,0,2176,'w'
175,256,64,8,2,2,4,2,16,0,0,0,0,0,0,0,0,2180,'w'
176,256,64,8,2,2,4,2,16,0,2,0,0,0,0,0,0,2180,'w'
177,256,64,8,2,2,4,2,16,4,0,0,0,0,0,0,0,2184,'a'
178,256,64,8,2,2,4,2,16,0,0,4,2,0,0,0,0,2184,'d'
179,256,64,8,2,4,4,2,16,0,0,4,2,0,0,0,0,2188,'w'
180,256,64,8,2,4,4,2,16,0,0,4,4,0,0,0,0,2192,'w'
181,256,64,8,2,8,2,16,0,8,0,0,0,2,0,0,0,2208,'a'
182,256,64,8,2,16,4,16,0,2,0,0,0,0,0,0,0,2228,'w'
183,256,64,8,4,16,4,16,0,2,0,0,0,0,0,0,0,2232,'w'
184,256,64,8,4,16,4,16,0,2,2,0,0,0,0,0,0,2232,'w'
185,256,64,8,4,16,4,16,0,2,4,0,0,0,0,0,0,2236,'w'
186,256,64,8,4,16,8,16,2,2,0,0,0,0,0,0,0,2244,'w'
187,256,64,8,4,16,8,16,2,4,0,0,0,0,0,0,0,2248,'w'
188,256,64,8,4,16,8,16,2,0,0,4,2,0,0,0,0,2248,'d'
189,256,64,8,4,16,8,16,2,2,4,2,0,0,0,0,0,2248,'a'
190,256,64,8,4,16,8,16,4,2,4,2,0,0,0,0,0,2252,'w'
191,256,64,8,4,16,8,16,4,2,4,2,0,2,0,0,0,2252,'a'
192,256,64,8,4,16,8,16,4,2,4,2,0,4,0,0,0,2256,'a'
193,256,64,8,8,16,8,16,2,2,4,2,0,4,0,0,0,2264,'w'
194,0,256,64,16,16,8,16,2,0,2,4,2,0,0,4,2,2280,'d'
195,256,64,16,0,16,8,16,2,2,4,2,0,2,4,2,0,2280,'a'
196,256,64,32,4,16,8,4,0,4,8,0,0,0,0,0,0,2332,'w'
197,256,64,32,4,16,16,4,2,4,0,0,0,0,0,0,0,2348,'w'
198,256,64,32,4,32,4,2,0,4,2,0,0,0,0,0,0,2380,'a'
199,256,64,32,4,32,4,2,2,4,2,0,0,0,0,0,0,2380,'w'
200,256,64,32,4,0,32,4,4,0,0,4,2,0,0,0,2,2384,'d'
201,256,64,32,8,0,32,8,4,0,2,0,0,0,0,0,0,2404,'w'
202,256,64,32,8,0,32,8,4,0,2,0,2,0,0,0,0,2404,'w'
203,256,64,32,8,0,32,8,4,0,0,2,4,0,0,0,0,2408,'d'
204,256,64,32,8,0,32,8,8,0,2,2,0,0,0,0,0,2416,'w'
205,256,64,32,16,2,32,8,0,0,2,2,0,0,0,0,0,2432,'w'
206,256,64,32,16,0,2,32,8,0,0,2,4,0,0,0,0,2436,'d'
207,256,64,64,16,2,2,2,8,0,0,0,4,0,0,0,0,2500,'w'
208,256,128,16,0,4,2,8,0,4,0,0,0,2,0,0,0,2632,'a'
209,256,128,16,2,8,2,8,0,2,0,0,0,0,0,0,0,2640,'w'
210,256,128,16,2,8,2,8,0,2,0,2,0,0,0,0,0,2640,'w'
211,256,128,16,2,8,2,8,0,4,0,2,0,0,0,0,0,2644,'w'
212,256,128,16,2,0,8,2,8,0,0,4,2,0,0,0,2,2644,'d'
213,256,128,16,2,2,8,2,8,0,0,4,4,0,0,0,0,2648,'w'
214,256,128,16,2,2,8,2,8,2,8,0,0,0,0,0,0,2656,'a'
215,256,128,16,2,4,16,2,8,0,0,0,2,0,0,0,0,2676,'w'
216,256,128,16,2,4,16,2,8,0,0,0,4,0,0,0,0,2680,'d'
217,256,128,16,2,4,16,2,8,2,0,0,4,0,0,0,0,2680,'w'
218,256,128,16,2,4,16,2,8,0,0,4,4,0,0,0,0,2684,'d'
219,256,128,16,2,4,16,2,8,2,0,4,4,0,0,0,0,2684,'w'
220,256,128,16,2,4,16,2,8,2,8,0,0,2,0,0,0,2692,'a'
221,256,128,16,2,4,16,4,8,4,8,0,0,0,0,0,0,2700,'w'
222,256,128,16,2,8,16,4,8,0,8,2,0,0,0,0,0,2708,'w'
223,256,128,16,2,8,16,4,8,2,8,2,0,0,0,0,0,2708,'w'
224,256,128,16,2,8,16,4,8,2,8,2,2,0,0,0,0,2708,'w'
225,256,128,16,2,8,16,4,8,2,8,4,2,0,0,0,0,2712,'w'
226,256,128,16,2,8,16,8,8,2,8,0,2,0,2,0,0,2720,'w'
227,256,128,16,2,8,16,16,0,2,8,4,0,2,0,0,0,2740,'a'
228,256,128,32,2,8,16,4,0,4,8,2,0,0,0,0,0,2776,'w'
229,256,128,32,2,0,8,16,4,0,4,8,2,0,0,0,2,2776,'d'
230,256,128,32,2,8,16,4,0,4,8,2,0,4,0,0,0,2780,'a'
231,256,128,32,2,8,16,4,0,8,8,4,0,0,0,0,0,2792,'w'
232,256,128,32,4,16,16,8,0,0,8,0,0,0,0,0,0,2820,'w'
233,256,128,32,4,0,0,32,8,0,0,2,8,0,0,0,0,2852,'d'
234,256,128,64,4,2,0,2,16,0,0,0,0,0,0,0,0,2932,'w'
235,256,128,64,4,4,16,0,0,2,0,0,0,0,0,0,0,2936,'a'
236,256,128,64,4,0,4,16,2,0,0,0,2,0,0,0,0,2936,'d'
237,256,128,64,4,4,16,2,0,4,0,0,0,0,0,0,0,2940,'a'
238,256,128,64,4,8,16,2,0,0,2,0,0,0,0,0,0,2948,'w'
239,256,128,64,4,0,8,16,4,0,0,0,2,0,0,0,0,2952,'d'
240,256,128,64,8,0,8,16,2,0,2,0,0,0,0,0,0,2960,'w'
241,256,128,64,8,0,8,16,2,0,0,0,4,0,0,0,0,2964,'d'
