,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
108,32.0,16.0,8.0,2.0,16.0,8.0,4.0,,2.0,,,,,,2.0,,252,a
109,32.0,16.0,8.0,2.0,16.0,8.0,4.0,,2.0,,2.0,,,2.0,,,252,a
110,32.0,16.0,8.0,2.0,16.0,8.0,4.0,2.0,2.0,2.0,2.0,,,,,,252,a
111,32.0,16.0,8.0,4.0,16.0,8.0,4.0,,2.0,2.0,2.0,2.0,,,,,256,a
112,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,2.0,2.0,2.0,,2.0,,,,256,a
113,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,4.0,2.0,2.0,,2.0,,,,260,w
114,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,4.0,4.0,2.0,,2.0,,,,264,s
115,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,,2.0,8.0,2.0,,,,2.0,272,w
116,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,2.0,8.0,2.0,2.0,2.0,,,,272,w
117,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,2.0,8.0,4.0,,2.0,,2.0,,276,s
118,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,,2.0,8.0,4.0,,2.0,,4.0,280,w
119,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,2.0,8.0,4.0,,2.0,4.0,,2.0,280,w
120,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,2.0,8.0,4.0,2.0,2.0,4.0,2.0,,280,s
121,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,2.0,8.0,4.0,2.0,2.0,2.0,4.0,2.0,280,s
122,32.0,16.0,8.0,4.0,16.0,8.0,4.0,2.0,2.0,8.0,4.0,2.0,2.0,4.0,4.0,2.0,284,a
123,32.0,16.0,8.0,4.0,16.0,16.0,8.0,4.0,4.0,4.0,4.0,2.0,,,,4.0,316,w
124,32.0,16.0,8.0,4.0,32.0,8.0,4.0,,8.0,4.0,2.0,2.0,4.0,,,,356,a
125,64.0,16.0,8.0,4.0,8.0,8.0,4.0,2.0,4.0,4.0,2.0,,,2.0,,,420,w
126,64.0,16.0,8.0,4.0,16.0,4.0,2.0,,8.0,2.0,,,2.0,,,2.0,444,a
127,64.0,16.0,8.0,4.0,16.0,4.0,2.0,2.0,8.0,2.0,,,2.0,,,2.0,444,a
128,64.0,16.0,8.0,4.0,16.0,4.0,2.0,4.0,8.0,2.0,,,2.0,,,2.0,448,w
129,64.0,16.0,8.0,4.0,16.0,4.0,2.0,4.0,8.0,2.0,,,4.0,2.0,,,452,a
130,64.0,16.0,8.0,8.0,16.0,4.0,2.0,,8.0,4.0,2.0,,4.0,,,,464,a
131,64.0,16.0,8.0,8.0,16.0,8.0,4.0,,8.0,2.0,,,4.0,,,,476,w
132,64.0,16.0,16.0,,16.0,8.0,4.0,,8.0,2.0,2.0,,4.0,,,,492,d
133,64.0,,,,16.0,16.0,16.0,,8.0,8.0,4.0,,4.0,2.0,2.0,2.0,492,a
134,64.0,16.0,16.0,2.0,16.0,8.0,4.0,,8.0,2.0,2.0,2.0,4.0,,,,492,w
135,,2.0,,,,,,,,,,,,,,4.0,0,a
136,,2.0,,4.0,,,,,,,,2.0,,,,,0,s
137,,,2.0,4.0,,,,,,2.0,,2.0,,,,,0,d
138,,,,,,2.0,,,,,,4.0,,2.0,2.0,2.0,0,d
139,,,,,,,,,,,,4.0,2.0,4.0,2.0,2.0,4,w
140,,,,,,2.0,,,4.0,,,,2.0,4.0,4.0,,8,s
141,2.0,,,,,,,2.0,,,,4.0,,,2.0,8.0,16,d
142,,,,,2.0,,,2.0,,,,4.0,2.0,,2.0,8.0,16,s
143,,,,,,,2.0,4.0,,,,4.0,,,4.0,8.0,24,w
144,,,,2.0,2.0,4.0,,,4.0,,,,4.0,8.0,,,24,s
145,,,,2.0,,,2.0,4.0,,,,4.0,,2.0,4.0,8.0,24,d
146,,,,,,,,2.0,,2.0,2.0,8.0,,2.0,4.0,8.0,32,s
147,,,,,,,,2.0,,,4.0,8.0,2.0,2.0,4.0,8.0,36,s
148,,,,2.0,,,,2.0,,,4.0,8.0,,4.0,4.0,8.0,40,d
149,,4.0,,,,,,,,,,4.0,,4.0,8.0,16.0,68,w
150,4.0,,,,,,2.0,,4.0,,,,4.0,8.0,16.0,,68,w
151,4.0,,,,2.0,,,,4.0,,,,4.0,8.0,16.0,2.0,68,d
152,,,,2.0,4.0,,,,2.0,,,,8.0,8.0,16.0,2.0,76,d
153,,,,,4.0,2.0,,,2.0,,,,8.0,8.0,16.0,4.0,80,d
154,,,,,4.0,,,4.0,2.0,2.0,,,8.0,8.0,16.0,4.0,80,d
155,,,2.0,,4.0,,,,2.0,2.0,,,8.0,8.0,16.0,8.0,88,d
156,,,,,4.0,,,,2.0,2.0,2.0,2.0,8.0,8.0,16.0,8.0,88,w
157,,,,4.0,4.0,,,,4.0,4.0,,,16.0,16.0,8.0,,112,d
158,,,,,,2.0,,,8.0,4.0,,,16.0,16.0,8.0,4.0,120,w
159,,,,,2.0,,2.0,,8.0,4.0,,,32.0,8.0,4.0,,152,d
160,,,,,2.0,2.0,,,8.0,4.0,2.0,,32.0,8.0,4.0,,152,w
161,2.0,,,,4.0,,,,8.0,4.0,2.0,,32.0,8.0,4.0,,156,a
162,2.0,4.0,2.0,,4.0,8.0,4.0,,8.0,,,,32.0,,,2.0,156,d
163,2.0,2.0,,,4.0,,,,8.0,4.0,2.0,,32.0,8.0,4.0,2.0,156,w
164,4.0,,2.0,,4.0,,,,8.0,4.0,2.0,,32.0,8.0,4.0,2.0,160,w
165,4.0,2.0,,,4.0,,2.0,,8.0,4.0,2.0,,32.0,8.0,4.0,2.0,160,w
166,4.0,2.0,,2.0,4.0,2.0,,,8.0,4.0,2.0,,32.0,8.0,4.0,2.0,160,d
167,,,,,8.0,4.0,,2.0,8.0,4.0,2.0,,32.0,8.0,4.0,4.0,176,w
168,,2.0,,,8.0,4.0,2.0,,8.0,4.0,2.0,,32.0,8.0,8.0,,184,w
169,2.0,,,,8.0,4.0,2.0,,8.0,4.0,2.0,,32.0,16.0,,2.0,200,w
170,2.0,2.0,,,8.0,4.0,2.0,,8.0,4.0,2.0,,32.0,16.0,2.0,,200,w
171,4.0,2.0,,,8.0,4.0,2.0,,8.0,4.0,2.0,,32.0,16.0,2.0,,204,d
172,,,,2.0,4.0,2.0,,,16.0,8.0,2.0,,32.0,16.0,4.0,,232,w
173,2.0,,4.0,,4.0,2.0,,,16.0,8.0,2.0,,32.0,16.0,4.0,,232,d
174,2.0,,,,4.0,2.0,4.0,2.0,16.0,8.0,2.0,,32.0,16.0,4.0,,232,d
175,2.0,,2.0,,4.0,2.0,4.0,,16.0,8.0,2.0,,32.0,16.0,4.0,2.0,232,w
176,4.0,,,,4.0,2.0,4.0,2.0,16.0,8.0,2.0,,32.0,16.0,4.0,2.0,236,d
177,,,,,8.0,2.0,4.0,4.0,16.0,8.0,2.0,,32.0,16.0,4.0,4.0,248,d
178,,,2.0,,8.0,2.0,4.0,,16.0,8.0,2.0,,32.0,16.0,4.0,8.0,256,w
179,2.0,,2.0,,8.0,2.0,4.0,,16.0,8.0,2.0,,32.0,16.0,4.0,8.0,256,w
180,4.0,,,,8.0,2.0,4.0,,16.0,8.0,2.0,2.0,32.0,16.0,4.0,8.0,260,w
181,4.0,,2.0,,8.0,2.0,4.0,,16.0,8.0,4.0,,32.0,16.0,4.0,8.0,264,d
182,4.0,,,,8.0,2.0,2.0,,16.0,8.0,4.0,2.0,32.0,16.0,8.0,8.0,272,w
183,4.0,,,2.0,8.0,4.0,,,16.0,8.0,4.0,2.0,32.0,16.0,16.0,,292,d
184,4.0,2.0,,,8.0,4.0,,,16.0,8.0,4.0,,32.0,16.0,16.0,4.0,296,w
185,4.0,2.0,2.0,,8.0,4.0,,,16.0,8.0,4.0,,32.0,32.0,4.0,,328,a
186,4.0,2.0,2.0,,8.0,4.0,8.0,,16.0,8.0,,2.0,32.0,32.0,,,336,d
187,4.0,2.0,,,8.0,4.0,,,16.0,8.0,2.0,4.0,32.0,32.0,8.0,2.0,336,a
188,4.0,2.0,2.0,4.0,8.0,4.0,8.0,2.0,16.0,8.0,,2.0,32.0,32.0,,,336,d
189,4.0,2.0,,,8.0,4.0,,2.0,16.0,8.0,2.0,4.0,32.0,32.0,8.0,4.0,340,d
190,4.0,2.0,,2.0,8.0,4.0,,,16.0,8.0,2.0,2.0,32.0,32.0,8.0,8.0,348,w
191,4.0,4.0,2.0,,8.0,4.0,,,16.0,8.0,4.0,,64.0,16.0,,,436,w
192,8.0,2.0,,,8.0,4.0,,,16.0,8.0,4.0,,64.0,16.0,2.0,,444,d
193,,2.0,2.0,,16.0,4.0,,,16.0,8.0,4.0,,64.0,16.0,2.0,,460,d
194,,2.0,,,2.0,4.0,2.0,,32.0,8.0,4.0,,64.0,16.0,2.0,,492,w
195,2.0,,,,2.0,4.0,2.0,2.0,32.0,8.0,4.0,,64.0,16.0,2.0,,492,d
196,,,,,4.0,4.0,2.0,,32.0,8.0,4.0,4.0,64.0,16.0,2.0,2.0,496,w
197,,,,,,,,,2.0,,2.0,,,,,,0,a
198,2.0,2.0,2.0,,,,,,,,,,,,,,0,s
199,,,2.0,4.0,,2.0,,,,,,,,,,,4,s
200,,,2.0,4.0,,,,2.0,,,,,,2.0,,,4,d
201,,2.0,,,,,,,,,,4.0,,2.0,2.0,2.0,4,d
202,,,,,,,2.0,,,,,4.0,,4.0,2.0,2.0,8,a
203,2.0,4.0,4.0,4.0,,,,2.0,,,,,,,,,12,s
204,,2.0,4.0,8.0,,,2.0,2.0,,,,,,,,,20,s
